number,latitude,longitude,time,step,surface,valid_time,u10,v10,t2m,cape,msl,sp,tcc,depthBelowLandLayer,swvl1
0,30.0,10.0,2024-01-01,0 days,0.0,2024-01-01,-0.5133257,0.537158,282.71973,0.0,102425.56,97782.06,0.32741654,0.0,8.051982e-06
0,30.0,10.5,2024-01-01,0 days,0.0,2024-01-01,-0.49525928,0.25444317,282.38965,0.0625,102433.31,96696.06,0.3161708,0.0,0.001594966
0,30.0,11.0,2024-01-01,0 days,0.0,2024-01-01,-0.105122566,-0.05317402,282.12012,0.25,102438.56,95775.06,0.30124772,0.0,0.004433101
0,30.0,11.5,2024-01-01,0 days,0.0,2024-01-01,0.34751415,-0.25776386,282.18066,0.75,102440.56,95256.06,0.29416764,0.0,0.005943721
0,30.0,12.0,2024-01-01,0 days,0.0,2024-01-01,0.7532759,-0.3529787,282.4756,1.75,102439.19,95087.06,0.2963344,0.0,0.0069202837
0,30.0,12.5,2024-01-01,0 days,0.0,2024-01-01,1.0950727,-0.40571308,282.68066,3.25,102434.94,94936.06,0.3024379,0.0,0.0075153764
0,30.0,13.0,2024-01-01,0 days,0.0,2024-01-01,1.6468306,-0.39301777,283.15723,3.125,102424.56,95200.06,0.29085648,0.0,0.00507397
0,30.0,13.5,2024-01-01,0 days,0.0,2024-01-01,1.9026899,-0.3583498,283.6709,2.6875,102410.06,96023.06,0.28719437,0.0,0.005165523
0,30.0,14.0,2024-01-01,0 days,0.0,2024-01-01,2.0926313,-0.31733418,284.20996,1.9375,102392.06,96995.06,0.27625382,0.0,0.003120845
0,30.0,14.5,2024-01-01,0 days,0.0,2024-01-01,2.2288618,-0.24946308,284.71973,1.0,102372.31,97955.06,0.2598201,0.0,3.856956e-05
0,30.0,15.0,2024-01-01,0 days,0.0,2024-01-01,2.3309126,-0.082959175,285.12793,0.5625,102351.44,98912.06,0.25301468,0.0,0.0001301223
0,30.0,15.5,2024-01-01,0 days,0.0,2024-01-01,1.8563032,0.11479473,285.05762,0.375,102333.44,99478.06,0.28632462,0.0,0.007698482
0,30.0,16.0,2024-01-01,0 days,0.0,2024-01-01,1.8772993,0.20561504,284.90527,0.25,102319.69,99047.06,0.27745926,0.0,0.00936169
0,30.0,16.5,2024-01-01,0 days,0.0,2024-01-01,2.2625532,0.17631817,284.82715,0.375,102302.69,98765.06,0.27217972,0.0,0.008949703
0,30.0,17.0,2024-01-01,0 days,0.0,2024-01-01,2.623393,0.09233379,284.79395,0.625,102282.81,99131.06,0.28423417,0.0,0.009254878
0,30.0,17.5,2024-01-01,0 days,0.0,2024-01-01,2.4437056,0.10698223,284.6455,1.0,102267.44,99708.06,0.28008378,0.0,0.012535518
0,30.0,18.0,2024-01-01,0 days,0.0,2024-01-01,2.6731977,0.21391582,284.76074,1.0625,102249.44,99688.06,0.2870723,0.0,0.015602535
0,30.0,18.5,2024-01-01,0 days,0.0,2024-01-01,2.8182173,0.048876762,285.39746,1.625,102226.56,100479.06,0.30553544,0.0,0.027107662
0,30.0,19.0,2024-01-01,0 days,0.0,2024-01-01,2.614604,-0.071240425,285.74707,2.625,102206.56,101377.06,0.32477677,0.0,0.033104364
0,30.0,19.5,2024-01-01,0 days,0.0,2024-01-01,2.1902876,-0.04536152,285.53613,3.25,102192.19,101871.06,0.32445633,0.0,0.030296749
0,30.0,20.0,2024-01-01,0 days,0.0,2024-01-01,1.9368696,0.07475567,284.9912,1.625,102182.19,101922.06,0.28212845,0.0,0.018471187
0,29.5,10.0,2024-01-01,0 days,0.0,2024-01-01,-0.44838428,0.6235838,282.417,0.0,102431.31,96094.06,0.26535904,0.0,3.856956e-05
0,29.5,10.5,2024-01-01,0 days,0.0,2024-01-01,-0.24623585,0.34672832,282.1748,0.0,102435.81,95609.06,0.27243912,0.0,0.00014538108
0,29.5,11.0,2024-01-01,0 days,0.0,2024-01-01,-0.042134285,0.048876762,282.08496,0.0625,102438.69,95204.06,0.28408158,0.0,0.0001301223
0,29.5,11.5,2024-01-01,0 days,0.0,2024-01-01,0.1849165,-0.12739277,282.2119,0.4375,102439.19,94975.06,0.29520524,0.0,0.0014423782
0,29.5,12.0,2024-01-01,0 days,0.0,2024-01-01,0.42222118,-0.20356464,282.40918,1.125,102438.69,94964.06,0.30271256,0.0,0.009163326
0,29.5,12.5,2024-01-01,0 days,0.0,2024-01-01,0.63169384,-0.34370136,282.62207,2.875,102435.06,95029.06,0.30785477,0.0,0.008903926
0,29.5,13.0,2024-01-01,0 days,0.0,2024-01-01,0.9798384,-0.44624043,282.95215,3.1875,102427.56,95227.06,0.3184291,0.0,0.0049671587
0,29.5,13.5,2024-01-01,0 days,0.0,2024-01-01,1.3533735,-0.4730959,283.3545,2.875,102415.31,95764.06,0.32494462,0.0,0.0015186721
0,29.5,14.0,2024-01-01,0 days,0.0,2024-01-01,1.6063032,-0.4340334,283.77832,2.3125,102400.31,96487.06,0.31667435,0.0,-0.00022082985
0,29.5,14.5,2024-01-01,0 days,0.0,2024-01-01,1.6775923,-0.33100605,284.16504,1.5,102385.31,97153.06,0.29290116,0.0,5.382835e-05
0,29.5,15.0,2024-01-01,0 days,0.0,2024-01-01,1.8338423,-0.106396675,284.4502,0.6875,102369.94,97595.06,0.27140152,0.0,0.001457637
0,29.5,15.5,2024-01-01,0 days,0.0,2024-01-01,1.6048384,-0.052197456,284.59668,0.375,102353.06,98273.06,0.27945817,0.0,0.0020679885
0,29.5,16.0,2024-01-01,0 days,0.0,2024-01-01,1.5525923,-0.21430683,284.14355,0.1875,102341.94,98007.06,0.2723323,0.0,0.003120845
0,29.5,16.5,2024-01-01,0 days,0.0,2024-01-01,1.8519087,-0.4413576,283.94238,0.1875,102325.19,97899.06,0.2732936,0.0,0.0046162065
0,29.5,17.0,2024-01-01,0 days,0.0,2024-01-01,2.0613813,-0.5692873,284.1338,0.25,102305.06,98421.06,0.28659928,0.0,0.0067066606
0,29.5,17.5,2024-01-01,0 days,0.0,2024-01-01,1.927104,-0.5067873,284.4795,0.5625,102288.44,99185.06,0.30167496,0.0,0.008675044
0,29.5,18.0,2024-01-01,0 days,0.0,2024-01-01,2.1468306,-0.3612795,284.5381,1.4375,102277.06,98833.06,0.31153214,0.0,0.008781856
0,29.5,18.5,2024-01-01,0 days,0.0,2024-01-01,2.5838423,-0.34321308,284.8506,1.625,102252.56,99461.06,0.29422867,0.0,0.015953487
0,29.5,19.0,2024-01-01,0 days,0.0,2024-01-01,2.4603071,-0.14692402,284.94238,2.125,102231.81,100529.06,0.30057633,0.0,0.012047237
0,29.5,19.5,2024-01-01,0 days,0.0,2024-01-01,2.2474165,0.07963848,284.9248,2.125,102214.94,101185.06,0.29912674,0.0,0.009254878
0,29.5,20.0,2024-01-01,0 days,0.0,2024-01-01,2.1258345,0.2378416,285.0166,1.5,102199.56,101482.06,0.28412735,0.0,0.008110469
0,29.0,10.0,2024-01-01,0 days,0.0,2024-01-01,-0.6827593,-0.18305683,282.1455,0.0,102430.44,94889.06,0.23125565,0.0,-3.7724385e-05
0,29.0,10.5,2024-01-01,0 days,0.0,2024-01-01,-0.42104053,-0.41206074,282.00293,0.0,102432.69,94706.06,0.22702897,0.0,3.856956e-05
0,29.0,11.0,2024-01-01,0 days,0.0,2024-01-01,-0.28481007,-0.6166506,282.01074,0.0,102432.44,94730.06,0.22235978,0.0,0.000114863506
0,29.0,11.5,2024-01-01,0 days,0.0,2024-01-01,-0.15932178,-0.80463886,282.1963,0.1875,102431.69,94680.06,0.22254288,0.0,0.0016102248
0,29.0,12.0,2024-01-01,0 days,0.0,2024-01-01,-0.00502491,-1.0072756,282.58105,0.6875,102428.94,94765.06,0.24996293,0.0,0.007103389
0,29.0,12.5,2024-01-01,0 days,0.0,2024-01-01,0.08188915,-0.94282246,282.93457,2.1875,102424.06,95059.06,0.2910396,0.0,0.00797314
0,29.0,13.0,2024-01-01,0 days,0.0,2024-01-01,0.29233837,-0.81538105,283.0869,2.6875,102419.19,95185.06,0.29963028,0.0,0.0029377395
0,29.0,13.5,2024-01-01,0 days,0.0,2024-01-01,0.70395947,-0.5775881,283.31348,2.4375,102413.56,95444.06,0.3036586,0.0,0.0004200393
0,29.0,14.0,2024-01-01,0 days,0.0,2024-01-01,1.0501509,-0.4804201,283.69824,1.8125,102402.94,95967.06,0.2983333,0.0,2.3310771e-05
0,29.0,14.5,2024-01-01,0 days,0.0,2024-01-01,1.1463423,-0.52680683,284.05762,1.0,102391.69,96407.06,0.2857753,0.0,-8.350075e-05
0,29.0,15.0,2024-01-01,0 days,0.0,2024-01-01,1.1981001,-0.46088886,284.12012,0.5625,102380.69,96458.06,0.26831925,0.0,0.00049633323
0,29.0,15.5,2024-01-01,0 days,0.0,2024-01-01,1.255229,-0.31977558,284.52246,0.4375,102365.31,97035.06,0.2878505,0.0,0.0030750686
0,29.0,16.0,2024-01-01,0 days,0.0,2024-01-01,1.4612837,-0.3974123,284.30762,0.1875,102349.81,97573.06,0.27416337,0.0,0.0029377395
0,29.0,16.5,2024-01-01,0 days,0.0,2024-01-01,1.7410688,-0.5229006,284.17285,0.1875,102332.31,97996.06,0.26723588,0.0,0.0046925005
0,29.0,17.0,2024-01-01,0 days,0.0,2024-01-01,1.7933149,-0.49262714,284.208,0.625,102314.31,98819.06,0.2779323,0.0,0.006248897
0,29.0,17.5,2024-01-01,0 days,0.0,2024-01-01,1.5618696,-0.3842287,284.23926,1.3125,102299.31,99470.06,0.30222428,0.0,0.0062183794
0,29.0,18.0,2024-01-01,0 days,0.0,2024-01-01,1.6097212,-0.5512209,284.23926,2.5625,102285.19,99164.06,0.30222428,0.0,0.015755123
0,29.0,18.5,2024-01-01,0 days,0.0,2024-01-01,2.0735884,-0.49750996,284.41504,2.5625,102264.19,99710.06,0.29013932,0.0,0.011299556
0,29.0,19.0,2024-01-01,0 days,0.0,2024-01-01,2.060893,-0.16010761,284.5205,3.0625,102246.44,100512.06,0.28069413,0.0,0.019295162
0,29.0,19.5,2024-01-01,0 days,0.0,2024-01-01,1.9793501,0.1597166,284.46777,2.9375,102233.19,100751.06,0.26897538,0.0,0.023354
0,29.0,20.0,2024-01-01,0 days,0.0,2024-01-01,1.9510298,0.31694317,284.55176,2.1875,102219.19,100808.06,0.25888932,0.0,0.018196529
0,28.5,10.0,2024-01-01,0 days,0.0,2024-01-01,-1.1217241,-0.9989748,282.20605,0.0,102413.44,95052.06,0.17800248,0.0,-7.206807e-06
0,28.5,10.5,2024-01-01,0 days,0.0,2024-01-01,-0.8497515,-1.0780764,281.7881,0.0,102415.06,95141.06,0.18148148,0.0,0.004356807
0,28.5,11.0,2024-01-01,0 days,0.0,2024-01-01,-0.6852007,-1.2084475,281.65332,0.0,102414.31,95238.06,0.18416703,0.0,0.0058521684
0,28.5,11.5,2024-01-01,0 days,0.0,2024-01-01,-0.3932085,-1.2343264,281.8916,0.0625,102410.44,95620.06,0.2059108,0.0,8.434593e-05
0,28.5,12.0,2024-01-01,0 days,0.0,2024-01-01,-0.25160694,-1.2929201,282.43262,0.375,102405.56,96107.06,0.23163712,0.0,0.001884883
